category,NODE_ID,location,lng,lat,img
bus,100000417,춘추문,126.97965544360001,37.5831276121,bus251
bus,100000418,경복궁.국립민속박물관,126.97959113510001,37.5794135204,bus252
bus,100900119,EN갤러리,126.9706087294,37.6134217965,bus253
bus,100900218,성균관대정문,126.9966204422,37.584956346599995,bus254
bus,100900219,600주년기념관,126.9939426439,37.5873281035,bus255
bus,100900220,성균관대운동장,126.9923688088,37.5878641029,bus256
bus,100900221,학생회관,126.9937416657,37.587445222,bus257
bus,100900118,종로문화센터,126.9646261961,37.574647081100004,bus258
bus,100900117,동대문역.2번출구,127.01172180020001,37.5720494465,bus259
bus,100900116,종각역YMCA,126.98508926,37.5703976388,bus260
bus,100900115,서교빌라,126.95715536549999,37.601989057,bus261
bus,100900177,경복궁역,126.9724733176,37.5770722054,bus262
bus,100900199,성대입구,126.99885300700001,37.5832668015,bus263
bus,100900114,무애사,126.9718458037,37.613900428200004,bus264
bus,100900113,단군성전앞,126.96531751190001,37.5755600915,bus265
bus,100900192,동대문종합시장,127.004958038,37.5712161296,bus266
bus,100900112,상명초등학교,126.95671541799999,37.6009238115,bus267
bus,100900179,법련사,126.97966505389999,37.5765879752,bus268
bus,100900111,광화문새마을금고,126.9710277184,37.5794930902,bus269
bus,100900110,성균관대학교,126.99719218540001,37.58516359,bus270
bus,100900109,참샘골공원,126.9742524976,37.6146097003,bus271
bus,100900108,활터앞,126.9653293849,37.5768126115,bus272
bus,100900107,종로5가.3번출구,127.0020898456,37.5714192458,bus273
bus,100900106,인사동들머리.3.1독립선언터,126.983296967,37.5719470235,bus274
bus,100900105,정독도서관,126.980080541,37.5802605382,bus275
bus,100900104,오거리.한옥마을입구,126.9697392663,37.5794684375,bus276
bus,100900103,평창공원지킴터입구,126.97574387610001,37.6163963984,bus277
bus,100000360,창경궁.고궁호텔.메이플레이스호텔,126.99744921690001,37.5765581609,bus278
bus,100000329,광화문,126.9755694982,37.5703374879,bus279
bus,100000330,종로1가,126.980129,37.570370000000004,bus280
bus,100000333,종로2가,126.9864618183,37.5700824558,bus281
bus,100000334,종로3가,126.9932082199,37.5706348964,bus282
bus,100000335,종로3가,126.99099321860001,37.570102425500004,bus283
bus,100000336,종로4가,126.9962507486,37.5704692645,bus284
bus,100000338,동대문종합시장종로6가,127.0032911936,37.5708647997,bus285
bus,100900102,종로도서관,126.96712515979999,37.5764842271,bus286
bus,100000343,경복궁역,126.97150564479999,37.5761780936,bus287
bus,100000344,경복궁역,126.97168197399999,37.5758191735,bus288
bus,100000345,안국역,126.985229602,37.5766137515,bus289
bus,100000346,안국역,126.98550598290001,37.5763185096,bus290
bus,100000347,창덕궁,126.9889000774,37.5775204226,bus291
bus,100000348,성대입구,126.9992357955,37.5832827975,bus292
bus,100900101,종로사우나,126.9877503526,37.5738011149,bus293
bus,100900180,엄마분식,126.9557163281,37.6012424257,bus294
bus,100900100,삼청파출소,126.98132581979999,37.58164517,bus295
bus,100900099,통인시장.종로구보건소,126.96875047969999,37.5803350289,bus296
bus,100900191,종로5가역,127.0000249058,37.570671358,bus297
bus,100900098,평창동산림제3초소,126.9771030504,37.617356049899996,bus298
bus,100900145,배화여중고,126.96769863370001,37.576778756399996,bus299
bus,100900143,대학로입구.이화사거리,127.0025801998,37.5759841652,bus300
